epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3582.47,2.09625,1.58096,1.23748,0.35274,0.07578,0.07518,0.02776,2.65856,2.31538,1.32394,0.0011882,0.0011882,0.0011882
43,3680.11,2.0805,1.57611,1.23278,0.46019,0.08763,0.08492,0.03134,2.54829,2.3042,1.28177,0.0011684,0.0011684,0.0011684
44,3781.98,2.05902,1.5404,1.22142,0.39722,0.10192,0.09731,0.04055,2.38011,2.4204,1.25095,0.0011486,0.0011486,0.0011486
45,3876.55,2.07394,1.56715,1.23354,0.44672,0.09321,0.09147,0.03781,2.47272,2.24317,1.26773,0.0011288,0.0011288,0.0011288
46,3974.85,2.07002,1.54968,1.22296,0.31905,0.10279,0.08131,0.03246,2.64253,2.63988,1.32781,0.001109,0.001109,0.001109
47,4062.37,2.05999,1.55317,1.21403,0.61838,0.10976,0.12011,0.04991,2.20997,1.91594,1.22874,0.0010892,0.0010892,0.0010892
48,4136.35,2.05834,1.54055,1.22351,0.2525,0.04443,0.04281,0.01681,2.90259,2.71133,1.42029,0.0010694,0.0010694,0.0010694
49,4211.47,2.03407,1.52648,1.22008,0.41475,0.1115,0.10463,0.04091,2.57778,2.37254,1.26936,0.0010496,0.0010496,0.0010496
50,4287.71,2.0432,1.51027,1.22173,0.45285,0.10801,0.10679,0.04338,2.43321,2.19826,1.23919,0.0010298,0.0010298,0.0010298
51,4361.63,2.01774,1.49009,1.21353,0.41004,0.08188,0.08263,0.03105,2.63197,2.23307,1.28762,0.00101,0.00101,0.00101
52,4434.44,2.00647,1.46745,1.20585,0.38494,0.11585,0.10436,0.04027,2.39268,1.97926,1.21762,0.0009902,0.0009902,0.0009902
53,4507.62,2.03389,1.49412,1.20799,0.21038,0.0662,0.05708,0.024,2.66876,2.51045,1.26001,0.0009704,0.0009704,0.0009704
54,4580.26,2.02143,1.46032,1.19562,0.45102,0.12108,0.11852,0.0476,2.51363,2.12341,1.21034,0.0009506,0.0009506,0.0009506
55,4652.54,2.01764,1.44824,1.1866,0.57008,0.12108,0.1232,0.05169,2.33285,1.81094,1.15823,0.0009308,0.0009308,0.0009308
56,4727.59,2.02998,1.4647,1.17546,0.49684,0.11847,0.11966,0.04753,2.48441,1.91444,1.17894,0.000911,0.000911,0.000911
57,4799.39,2.03615,1.44853,1.18817,0.46248,0.12217,0.12262,0.05123,2.33165,1.84301,1.15194,0.0008912,0.0008912,0.0008912
58,4870.87,2.03427,1.45684,1.19709,0.51709,0.12282,0.12508,0.05303,2.53785,1.71333,1.15648,0.0008714,0.0008714,0.0008714
59,4944.83,1.99899,1.41176,1.17133,0.55816,0.12325,0.13247,0.05588,2.41295,1.7987,1.12303,0.0008516,0.0008516,0.0008516
60,5018.57,1.99918,1.40102,1.17193,0.35671,0.09564,0.09406,0.0368,2.43415,1.98875,1.15169,0.0008318,0.0008318,0.0008318
61,5089.68,2.0018,1.40415,1.17069,0.474,0.12369,0.12716,0.05482,2.36919,1.75737,1.12087,0.000812,0.000812,0.000812
62,5162.25,2.01491,1.42918,1.17781,0.28717,0.03397,0.03612,0.01338,3.3166,3.25095,1.35312,0.0007922,0.0007922,0.0007922
63,5233.53,2.00881,1.41134,1.16155,0.40603,0.09408,0.09089,0.0365,2.7571,2.15861,1.18744,0.0007724,0.0007724,0.0007724
64,5305.81,2.01046,1.38779,1.15199,0.58092,0.13502,0.13774,0.0593,2.39409,1.57979,1.09645,0.0007526,0.0007526,0.0007526
65,5379.65,1.98182,1.38032,1.14585,0.49661,0.10192,0.10366,0.04099,2.48741,1.91533,1.13267,0.0007328,0.0007328,0.0007328
